CustomerID,InvoiceDate,Description,Quantity,UnitPrice
187,2024-08-01,노트북 거치대,2,61000
55,2024-07-27,마우스,5,52000
15,2024-09-20,마우스 패드,1,44000
182,2024-09-16,보조배터리,2,72000
146,2024-01-15,마우스 패드,2,30000
15,2024-05-07,스마트폰 케이스,4,11000
93,2024-12-26,키보드,3,52000
119,2024-09-15,보조배터리,1,92000
8,2024-05-03,스마트 워치,4,81000
115,2024-03-31,마우스,5,75000
90,2024-06-25,마우스 패드,3,100000
177,2024-02-16,HDMI 케이블,1,54000
13,2024-03-24,키보드,2,87000
58,2024-12-12,키보드,3,88000
105,2024-09-19,무선 이어폰,1,65000
34,2024-11-27,마우스 패드,5,6000
58,2024-05-09,HDMI 케이블,3,59000
97,2024-06-27,SD 카드,3,32000
120,2024-06-03,헤드셋,5,55000
150,2024-02-22,무선 이어폰,5,89000
96,2024-10-14,HDMI 케이블,3,92000
28,2024-09-03,노트북 거치대,3,40000
164,2024-06-15,모니터,3,88000
183,2024-11-29,HDMI 케이블,2,24000
133,2024-05-03,스마트폰 케이스,5,56000
170,2024-06-12,블루투스 스피커,1,88000
128,2024-05-31,모니터,4,56000
100,2024-01-19,키보드,3,97000
183,2024-04-23,스탠드 조명,4,90000
92,2024-09-16,HDMI 케이블,2,89000
143,2024-04-02,HDMI 케이블,1,65000
33,2024-05-12,스탠드 조명,2,92000
86,2024-12-01,노트북 거치대,2,50000
58,2024-06-06,태블릿 펜,3,52000
67,2024-10-26,HDMI 케이블,4,20000
121,2024-01-28,노트북 거치대,4,29000
129,2024-03-02,보조배터리,5,43000
106,2024-01-28,블루투스 스피커,2,30000
88,2024-07-28,SD 카드,2,45000
184,2024-04-02,노트북 거치대,4,47000
162,2024-03-31,노트북 파우치,1,5000
116,2024-05-20,키보드,2,78000
196,2024-03-22,마우스,1,21000
158,2024-08-10,태블릿 펜,4,59000
123,2024-07-15,무선 이어폰,1,73000
52,2024-07-10,무선 이어폰,3,72000
49,2024-01-10,무선 이어폰,2,33000
178,2024-06-25,HDMI 케이블,2,18000
99,2024-09-14,HDMI 케이블,2,13000
12,2024-06-01,HDMI 케이블,4,98000
134,2024-11-01,헤드셋,3,60000
176,2024-03-09,노트북 파우치,4,50000
193,2024-04-06,마우스 패드,4,7000
59,2024-04-24,블루투스 스피커,2,98000
6,2024-10-28,헤드셋,2,20000
94,2024-12-30,스마트폰 케이스,4,86000
66,2024-09-30,스마트폰 케이스,5,11000
170,2024-02-25,무선 이어폰,1,93000
30,2024-08-01,SD 카드,4,20000
141,2024-05-09,마우스,2,31000
178,2024-12-17,무선 이어폰,3,58000
170,2024-02-21,헤드셋,3,84000
156,2024-12-24,블루투스 스피커,4,18000
131,2024-11-12,USB 충전기,3,19000
28,2024-09-11,키보드,5,30000
200,2024-05-14,헤드셋,2,50000
181,2024-07-28,HDMI 케이블,2,10000
141,2024-09-11,키보드,4,47000
61,2024-01-02,무선 이어폰,1,19000
147,2024-12-08,마우스,2,16000
200,2024-09-18,노트북 거치대,1,37000
165,2024-04-28,SD 카드,3,38000
119,2024-01-26,USB 충전기,2,10000
75,2024-07-03,노트북 파우치,4,99000
30,2024-02-18,스마트폰 케이스,1,22000
170,2024-11-27,마우스 패드,3,50000
113,2024-11-14,모니터,1,52000
88,2024-04-03,USB 충전기,4,56000
117,2024-05-19,보조배터리,4,58000
167,2024-03-26,USB 충전기,2,94000
186,2024-01-31,마우스 패드,1,58000
152,2024-09-04,SD 카드,2,83000
98,2024-07-02,무선 이어폰,2,66000
125,2024-02-27,태블릿 펜,4,10000
17,2024-05-13,노트북 파우치,1,95000
174,2024-09-25,웹캠,3,71000
134,2024-12-18,USB 충전기,4,89000
187,2024-05-07,마우스,3,89000
174,2024-11-24,보조배터리,2,76000
157,2024-01-28,무선 이어폰,2,69000
121,2024-09-10,마우스 패드,1,67000
83,2024-05-03,노트북 파우치,3,11000
130,2024-04-24,스탠드 조명,4,56000
61,2024-02-10,SD 카드,4,78000
115,2024-02-15,마우스,4,45000
31,2024-09-11,무선 이어폰,1,56000
106,2024-01-19,스탠드 조명,5,5000
24,2024-11-05,HDMI 케이블,5,76000
53,2024-12-01,SD 카드,3,51000
14,2024-04-24,SD 카드,3,76000
197,2024-11-13,마우스,3,96000
116,2024-02-28,USB 충전기,2,5000
88,2024-06-30,HDMI 케이블,5,71000
96,2024-12-25,USB 충전기,1,26000
127,2024-03-12,태블릿 펜,1,37000
157,2024-04-10,키보드,1,55000
56,2024-08-22,키보드,3,18000
194,2024-07-31,스마트폰 케이스,5,20000
198,2024-08-18,SD 카드,5,69000
35,2024-09-12,무선 이어폰,5,99000
13,2024-10-10,태블릿 펜,5,66000
131,2024-03-31,마우스 패드,2,18000
100,2024-12-02,노트북 파우치,5,54000
108,2024-11-07,웹캠,3,55000
88,2024-05-30,SD 카드,2,22000
106,2024-11-04,헤드셋,3,94000
141,2024-06-09,스탠드 조명,2,30000
54,2024-11-15,HDMI 케이블,3,91000
34,2024-12-29,마우스 패드,5,74000
178,2024-11-22,노트북 파우치,1,50000
144,2024-09-02,태블릿 펜,5,41000
109,2024-01-07,헤드셋,1,8000
98,2024-03-15,스마트폰 케이스,1,30000
69,2024-03-23,HDMI 케이블,3,23000
16,2024-12-19,HDMI 케이블,2,74000
9,2024-07-02,SD 카드,1,83000
173,2024-10-14,웹캠,5,54000
61,2024-09-18,HDMI 케이블,1,53000
100,2024-08-01,노트북 파우치,5,11000
4,2024-05-08,키보드,5,61000
58,2024-11-20,스마트 워치,5,74000
190,2024-11-04,키보드,2,42000
