CustomerID,InvoiceDate,InvoiceNo,Quantity,UnitPrice,Description
10186,2023-09-29,500000,3,120.0,24inch Monitor
10254,2024-09-07,500001,3,5.0,Cable Organizer
10009,2024-05-14,500002,1,25.5,Bluetooth Speaker
10159,2023-02-16,500003,1,30.0,Desk Lamp
10214,2024-08-14,500004,2,250.0,Office Chair
10087,2024-10-27,500005,1,8.99,HDMI Cable
10185,2024-02-25,500006,3,2.0,Sticky Notes
10084,2023-12-05,500007,1,89.99,Gaming Headset
10233,2023-05-10,500008,1,15.0,Laptop Stand
10259,2023-11-15,500009,4,250.0,Office Chair
10231,2024-01-22,500010,2,25.5,Bluetooth Speaker
10273,2024-04-19,500011,4,12.5,Wireless Mouse
10276,2024-12-10,500012,1,25.5,Bluetooth Speaker
10077,2024-12-23,500013,1,120.0,24inch Monitor
10300,2023-09-02,500014,1,9.99,Mouse Pad
10229,2024-03-25,500015,3,8.5,Phone Stand
10103,2024-05-28,500016,2,8.99,HDMI Cable
10170,2023-10-29,500017,1,9.99,Mouse Pad
10179,2024-12-15,500018,3,3.5,USB-C Cable
10213,2024-06-07,500019,3,12.0,Screen Cleaning Kit
10170,2023-11-13,500020,3,200.0,Graphics Tablet
10207,2024-08-22,500021,4,9.99,Mouse Pad
10185,2024-06-11,500022,10,5.0,Cable Organizer
10115,2023-06-18,500023,2,3.5,USB-C Cable
10047,2024-07-26,500024,4,5.0,Notebook
10173,2023-11-28,500025,3,2.0,Sticky Notes
10175,2024-11-18,500026,1,8.5,Phone Stand
10183,2024-08-10,500027,1,30.0,Desk Lamp
10209,2023-11-06,500028,2,12.0,Screen Cleaning Kit
10038,2024-08-20,500029,3,8.5,Phone Stand
10295,2023-04-19,500030,3,12.0,Screen Cleaning Kit
10099,2024-11-30,500031,2,45.0,Mechanical Keyboard
10058,2023-09-01,500032,2,45.0,Mechanical Keyboard
10137,2023-08-15,500033,5,200.0,Graphics Tablet
10072,2024-05-02,500034,4,250.0,Office Chair
10142,2023-09-09,500035,1,15.0,Laptop Stand
10048,2023-03-03,500036,1,9.99,Mouse Pad
10262,2023-05-12,500037,1,9.99,Mouse Pad
10238,2024-10-08,500038,1,8.99,HDMI Cable
10190,2024-07-17,500039,1,8.5,Phone Stand
10221,2023-08-25,500040,3,5.0,Cable Organizer
10183,2024-06-22,500041,1,120.0,24inch Monitor
10137,2023-05-15,500042,2,8.99,HDMI Cable
10119,2024-07-26,500043,1,2.0,Sticky Notes
10060,2023-09-01,500044,1,5.0,Cable Organizer
10030,2024-08-01,500045,1,25.5,Bluetooth Speaker
10166,2024-01-04,500046,5,3.5,USB-C Cable
10097,2023-07-15,500047,1,3.5,USB-C Cable
10271,2024-11-23,500048,2,40.0,Ergonomic Pillow
10298,2024-11-25,500049,1,120.0,24inch Monitor
10030,2023-02-27,500050,3,55.0,Webcam HD
10282,2024-08-30,500051,1,89.99,Gaming Headset
10190,2024-10-24,500052,1,2.0,Sticky Notes
10097,2024-05-16,500053,2,12.0,Screen Cleaning Kit
10067,2024-09-11,500054,3,89.99,Gaming Headset
10124,2024-09-26,500055,2,2.0,Sticky Notes
10225,2023-06-09,500056,1,120.0,24inch Monitor
10092,2024-09-22,500057,5,12.0,Screen Cleaning Kit
10211,2023-04-15,500058,3,2.0,Sticky Notes
10041,2023-10-18,500059,3,89.99,Gaming Headset
10171,2024-04-09,500060,2,200.0,Graphics Tablet
10158,2023-09-24,500061,1,3.5,USB-C Cable
10266,2024-08-15,500062,1,5.0,Notebook
10195,2024-09-05,500063,3,8.99,HDMI Cable
10001,2024-04-14,500064,2,30.0,Desk Lamp
10285,2024-09-27,500065,1,15.0,Laptop Stand
10250,2024-01-01,500066,2,120.0,24inch Monitor
10275,2023-04-28,500067,1,150.0,External SSD 1TB
10245,2024-07-20,500068,2,150.0,External SSD 1TB
10258,2023-11-17,500069,3,89.99,Gaming Headset
10223,2023-12-01,500070,2,25.5,Bluetooth Speaker
10197,2023-05-25,500071,2,150.0,External SSD 1TB
10103,2024-03-08,500072,1,15.0,Laptop Stand
10208,2024-04-28,500073,4,12.0,Screen Cleaning Kit
10179,2023-10-13,500074,1,55.0,Webcam HD
10230,2023-08-24,500075,1,9.99,Mouse Pad
10031,2023-08-18,500076,2,15.0,Laptop Stand
10165,2023-09-24,500077,1,5.0,Notebook
10036,2024-03-20,500078,1,120.0,24inch Monitor
10269,2024-05-22,500079,3,12.5,Wireless Mouse
10141,2023-11-10,500080,1,30.0,Desk Lamp
10277,2024-11-24,500081,1,12.0,Screen Cleaning Kit
10184,2024-04-20,500082,2,15.0,Laptop Stand
10204,2023-12-03,500083,4,12.5,Wireless Mouse
10075,2023-02-08,500084,4,200.0,Graphics Tablet
10145,2023-05-23,500085,1,89.99,Gaming Headset
10076,2023-12-10,500086,1,15.0,Laptop Stand
10285,2024-03-02,500087,1,5.0,Cable Organizer
10253,2023-01-14,500088,4,5.0,Notebook
10037,2024-02-18,500089,1,250.0,Office Chair
10200,2024-09-21,500090,2,120.0,24inch Monitor
10203,2024-12-11,500091,2,120.0,24inch Monitor
10032,2024-05-04,500092,4,40.0,Ergonomic Pillow
10220,2024-04-03,500093,2,2.0,Sticky Notes
10044,2024-02-21,500094,2,5.0,Notebook
10080,2024-08-09,500095,1,89.99,Gaming Headset
10156,2024-12-08,500096,1,12.0,Screen Cleaning Kit
10088,2024-04-09,500097,2,40.0,Ergonomic Pillow
10061,2024-05-27,500098,3,150.0,External SSD 1TB
10039,2023-09-30,500099,1,120.0,24inch Monitor
10032,2024-09-02,500100,2,55.0,Webcam HD
10231,2023-12-17,500101,5,55.0,Webcam HD
10150,2024-04-21,500102,3,5.0,Cable Organizer
10271,2024-05-06,500103,2,8.5,Phone Stand
10173,2023-01-18,500104,2,55.0,Webcam HD
10216,2023-05-20,500105,3,45.0,Mechanical Keyboard
10180,2023-07-07,500106,4,9.99,Mouse Pad
10250,2023-01-21,500107,3,5.0,Cable Organizer
10131,2024-09-17,500108,1,5.0,Notebook
10082,2023-06-28,500109,1,45.0,Mechanical Keyboard
10025,2024-10-18,500110,3,8.5,Phone Stand
10277,2023-09-21,500111,2,12.5,Wireless Mouse
10094,2023-11-30,500112,3,15.0,Laptop Stand
10204,2023-01-16,500113,1,12.0,Screen Cleaning Kit
10032,2024-08-01,500114,1,5.0,Cable Organizer
10119,2023-07-06,500115,4,5.0,Cable Organizer
10203,2023-03-21,500116,4,5.0,Notebook
10123,2024-11-24,500117,2,8.99,HDMI Cable
10262,2023-06-23,500118,10,30.0,Desk Lamp
10060,2023-08-10,500119,2,25.5,Bluetooth Speaker
10040,2023-08-05,500120,1,25.5,Bluetooth Speaker
10111,2023-03-26,500121,1,5.0,Notebook
10035,2023-12-08,500122,3,15.0,Laptop Stand
10223,2024-08-11,500123,3,55.0,Webcam HD
10168,2023-09-13,500124,3,5.0,Notebook
10171,2023-03-23,500125,4,15.0,Laptop Stand
10166,2023-01-08,500126,1,45.0,Mechanical Keyboard
10096,2024-07-02,500127,2,8.5,Phone Stand
10176,2023-10-30,500128,1,55.0,Webcam HD
10290,2024-07-09,500129,1,5.0,Cable Organizer
10126,2024-12-03,500130,1,150.0,External SSD 1TB
10067,2024-11-05,500131,3,120.0,24inch Monitor
10262,2023-06-16,500132,4,40.0,Ergonomic Pillow
10224,2023-09-21,500133,3,120.0,24inch Monitor
10181,2023-01-03,500134,2,5.0,Cable Organizer
10191,2023-02-17,500135,2,250.0,Office Chair
10288,2024-12-02,500136,3,12.0,Screen Cleaning Kit
10173,2024-08-30,500137,1,250.0,Office Chair
10300,2023-01-06,500138,4,55.0,Webcam HD
10242,2023-11-18,500139,1,15.0,Laptop Stand
10094,2023-06-17,500140,2,89.99,Gaming Headset
10191,2024-06-01,500141,3,120.0,24inch Monitor
10030,2024-12-25,500142,1,250.0,Office Chair
10038,2023-01-02,500143,2,8.99,HDMI Cable
10277,2024-01-14,500144,2,8.99,HDMI Cable
10275,2023-10-26,500145,1,30.0,Desk Lamp
10026,2024-11-18,500146,3,25.5,Bluetooth Speaker
10287,2024-03-11,500147,3,8.5,Phone Stand
10109,2024-08-15,500148,1,55.0,Webcam HD
10153,2024-01-28,500149,1,250.0,Office Chair
10208,2024-09-04,500150,2,25.5,Bluetooth Speaker
10188,2023-03-20,500151,4,40.0,Ergonomic Pillow
10113,2023-07-25,500152,2,55.0,Webcam HD
10208,2024-08-01,500153,1,15.0,Laptop Stand
10045,2023-09-13,500154,2,89.99,Gaming Headset
10211,2023-07-19,500155,2,55.0,Webcam HD
10059,2024-02-21,500156,1,8.5,Phone Stand
10299,2023-05-17,500157,3,5.0,Cable Organizer
10078,2024-06-01,500158,3,25.5,Bluetooth Speaker
10087,2023-08-27,500159,1,5.0,Notebook
10294,2023-12-07,500160,1,40.0,Ergonomic Pillow
10129,2023-10-30,500161,3,250.0,Office Chair
10094,2024-11-17,500162,1,55.0,Webcam HD
10121,2023-04-15,500163,1,9.99,Mouse Pad
10010,2024-05-14,500164,1,8.5,Phone Stand
10278,2024-07-07,500165,2,15.0,Laptop Stand
10229,2024-12-12,500166,2,250.0,Office Chair
10083,2023-06-17,500167,2,45.0,Mechanical Keyboard
10247,2024-08-16,500168,1,120.0,24inch Monitor
10108,2023-02-01,500169,1,120.0,24inch Monitor
10120,2023-07-06,500170,1,30.0,Desk Lamp
10068,2024-10-27,500171,1,15.0,Laptop Stand
10125,2024-11-15,500172,2,120.0,24inch Monitor
10011,2024-02-27,500173,3,5.0,Cable Organizer
10175,2024-02-26,500174,3,5.0,Cable Organizer
10192,2023-03-01,500175,5,12.5,Wireless Mouse
10214,2024-12-26,500176,3,30.0,Desk Lamp
10230,2024-09-26,500177,1,15.0,Laptop Stand
10138,2023-10-01,500178,2,12.5,Wireless Mouse
10295,2024-11-28,500179,1,200.0,Graphics Tablet
10292,2023-01-19,500180,2,5.0,Cable Organizer
10252,2024-09-24,500181,2,250.0,Office Chair
10181,2024-11-11,500182,1,3.5,USB-C Cable
10193,2024-09-28,500183,1,45.0,Mechanical Keyboard
10295,2024-06-22,500184,1,25.5,Bluetooth Speaker
10169,2023-06-11,500185,4,25.5,Bluetooth Speaker
10099,2023-09-04,500186,1,150.0,External SSD 1TB
10122,2023-05-19,500187,20,8.5,Phone Stand
10275,2024-03-05,500188,5,3.5,USB-C Cable
10226,2024-04-04,500189,3,250.0,Office Chair
10289,2024-10-08,500190,2,200.0,Graphics Tablet
10192,2023-01-21,500191,1,8.5,Phone Stand
10074,2023-05-01,500192,2,2.0,Sticky Notes
10297,2023-12-05,500193,2,40.0,Ergonomic Pillow
10235,2024-09-27,500194,1,5.0,Cable Organizer
10130,2023-04-02,500195,1,12.5,Wireless Mouse
10212,2024-08-26,500196,2,150.0,External SSD 1TB
10282,2024-05-24,500197,3,2.0,Sticky Notes
10167,2024-12-26,500198,3,8.99,HDMI Cable
10235,2024-12-21,500199,1,2.0,Sticky Notes
10263,2024-10-19,500200,1,250.0,Office Chair
10241,2023-12-09,500201,3,200.0,Graphics Tablet
10117,2024-08-26,500202,1,12.0,Screen Cleaning Kit
10251,2023-04-13,500203,4,150.0,External SSD 1TB
10226,2024-06-06,500204,1,150.0,External SSD 1TB
10285,2024-06-19,500205,1,89.99,Gaming Headset
10016,2023-07-06,500206,1,25.5,Bluetooth Speaker
10122,2024-07-12,500207,1,5.0,Cable Organizer
10248,2023-06-24,500208,4,30.0,Desk Lamp
10215,2024-05-01,500209,3,15.0,Laptop Stand
10157,2024-01-10,500210,1,8.99,HDMI Cable
10125,2023-02-10,500211,2,3.5,USB-C Cable
10103,2024-02-22,500212,1,5.0,Cable Organizer
10235,2023-08-06,500213,1,150.0,External SSD 1TB
10091,2023-10-18,500214,2,55.0,Webcam HD
10124,2023-08-19,500215,2,5.0,Notebook
10264,2023-10-07,500216,2,12.5,Wireless Mouse
10171,2024-12-11,500217,2,200.0,Graphics Tablet
10092,2023-12-21,500218,2,89.99,Gaming Headset
10001,2024-09-24,500219,2,89.99,Gaming Headset
